기관명,직종,예측_취업률,진행_횟수
엠비씨(MBC)아카데미 컴퓨터교육센터 화곡점,응용SW엔지니어링(20010202),100,3
한국소프트웨어인재개발원,응용SW엔지니어링(20010202),100,1
주식회사 이젠컴퓨터아카데미,응용SW엔지니어링(20010202),100,1
비트교육센터별관학원,응용SW엔지니어링(20010202),100,1
엠비씨(MBC)아카데미 컴퓨터교육센터 본점,응용SW엔지니어링(20010202),100,2
한국직업전문학교,빅데이터분석(20010105),100,1
우리컴퓨터아카데미,빅데이터분석(20010105),99.25714286,4
스마트인재개발원,응용SW엔지니어링(20010202),94.8,14
더조은컴퓨터아카데미학원,응용SW엔지니어링(20010202),90.41428571,8
글로벌아이티(IT)인재개발학원,응용SW엔지니어링(20010202),89.375,5
주식회사코드스테이츠,IT시스템관리(20010301),89.16666667,4
더조은컴퓨터학원,빅데이터분석(20010105),88.6,2
한국ICT인재개발원 성수센터,응용SW엔지니어링(20010202),88.45,6
(주)모두의연구소,응용SW엔지니어링(20010202),88.4,3
그린컴퓨터아카데미 신촌,빅데이터분석(20010105),87.5,1
에이콘아카데미 홍대학원,응용SW엔지니어링(20010202),83.6,4
(주)천재교육,응용SW엔지니어링(20010202),83.575,5
그린컴퓨터아트학원,응용SW엔지니어링(20010202),82.9,5
에이아이아카데미학원,응용SW엔지니어링(20010202),82.7,4
엠비씨(MBC)아카데미 컴퓨터국비지원교육센터,응용SW엔지니어링(20010202),82.55,2
한국표준협회,IT시스템관리(20010301),82.1,3
(주)천재교육,빅데이터분석(20010105),77.50952381,6
엠비씨(MBC)아카데미컴퓨터학원 천호점,응용SW엔지니어링(20010202),77.23333333,4
비트교육센터,응용SW엔지니어링(20010202),75.405,14
한경닷컴IT교육센터,응용SW엔지니어링(20010202),75.31666667,8
솔데스크강남학원,응용SW엔지니어링(20010202),74.3452381,9
한국정보교육원(구.경원직업전문학교),IT시스템관리(20010301),74.11377551,17
쌍용강북교육센터,응용SW엔지니어링(20010202),73.63333333,15
애드인에듀 아카데미 구로가산센터,응용SW엔지니어링(20010202),73.35,2
쌍용교육센터,응용SW엔지니어링(20010202),73.23333333,4
하이미디어아카데미인재개발원,IT시스템관리(20010301),72.7,1
대신IT평생교육원,응용SW엔지니어링(20010202),71.4,1
대우능력개발원,IT시스템관리(20010301),70,1
역삼 그린컴퓨터아카데미,응용SW엔지니어링(20010202),70,3
KH정보교육원 종로지원,IT시스템관리(20010301),69.1,4
주식회사 하이테커,빅데이터분석(20010105),69.06190476,5
(주)신세계아이앤씨,응용SW엔지니어링(20010202),68.2,1
(사)한국무역협회무역아카데미,빅데이터분석(20010105),67.7,2
