기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-07-19,2024-01-16,960,30,16,16,10.07,해당 정보 없음
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-08-22,2024-02-22,960,30,19,19,10.07,16
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-09-25,2024-03-29,960,30,15,15,10.07,19
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-11-20,2024-05-16,960,30,15,15,10.07,15
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-25,2024-07-22,960,23,12,12,10.07,15
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-02-27,2024-08-26,960,23,19,19,10.07,12
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-04-04,2024-10-07,960,30,23,23,10.07,19
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-22,2024-11-18,960,30,17,17,10.07,23
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-11-12,2025-05-13,960,30,5,5,10.07,17
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-17,2025-07-15,960,30,0,0,10.07,5
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",11회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-21,2025-07-16,960,30,0,0,10.07,해당 정보 없음
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",12회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-10,2025-07-31,960,30,1,0,10.07,해당 정보 없음
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",13회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-19,2025-08-11,960,30,0,0,10.07,해당 정보 없음
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","풀스택 프레임워크(자바,스프링)기반 데이터 융합SW개발자 과정",14회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-03-26,2025-09-15,960,30,0,0,10.07,해당 정보 없음
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부",데브옵스/MSA/컨테이너 기반의 클라우드 네이티브 엔지니어 전문가 과정,1회차,클라우드솔루션 아키텍처(20010214),K-디지털 트레이닝,2023-11-14,2024-05-13,960,20,9,9,4.6,해당 정보 없음
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부",데브옵스/MSA/컨테이너 기반의 클라우드 네이티브 엔지니어 전문가 과정,2회차,클라우드솔루션 아키텍처(20010214),K-디지털 트레이닝,2024-05-20,2024-11-15,960,20,14,14,4.6,9
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부",데브옵스/MSA/컨테이너 기반의 클라우드 네이티브 엔지니어 전문가 과정,3회차,클라우드솔루션 아키텍처(20010214),K-디지털 트레이닝,2025-02-11,2025-07-30,960,20,5,0,4.6,14
