기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
(사)한국무역협회무역아카데미,KITA 디지털 마스터 (무역 빅데이터 과정),2,30,21,61.9,빅데이터분석,과정 종료,31,30,K-디지털트레이닝,2023-09-15,2024-05-08,서울 강남구,4.14
(사)한국무역협회무역아카데미,KITA 디지털 마스터 (무역 빅데이터 과정),3,25,21,진행중,빅데이터분석,진행중,25,30,K-디지털트레이닝,2024-02-29,2024-11-01,서울 강남구,4.14
(주)그렙,데이터 엔지니어링,2,58,39,46.1,빅데이터운영·관리,과정 종료,62,60,K-디지털트레이닝,2023-10-13,2024-03-12,서울 서초구,4.39
(주)그렙,데이터 엔지니어링,3,58,45,진행중,빅데이터운영·관리,진행중,64,60,K-디지털트레이닝,2024-03-22,2024-08-20,서울 서초구,4.39
(주)그렙,데이터분석 데브코스,1,50,27,40.7,빅데이터운영·관리,과정 종료,55,60,K-디지털트레이닝,2023-11-17,2024-04-04,서울 서초구,3.99
(주)그렙,데이터분석 데브코스,2,56,43,37.2,빅데이터운영·관리,과정 종료,59,60,K-디지털트레이닝,2024-02-16,2024-07-04,서울 서초구,3.99
(주)그렙,데이터분석 데브코스,3,46,32,진행중,빅데이터운영·관리,진행중,48,60,K-디지털트레이닝,2024-04-19,2024-09-05,서울 서초구,3.99
(주)그렙,리눅스 시스템 및 커널 전문가 양성 과정,2,40,20,40.0,시스템SW엔지니어링,과정 종료,41,45,K-디지털트레이닝,2023-10-13,2024-03-09,서울 서초구,4.29
(주)그렙,자율주행 Planning & Control 엔지니어 양성,2,17,6,66.7,IoT시스템연동,과정 종료,20,24,K-디지털트레이닝,2023-12-11,2024-06-14,서울 서초구,4.7
(주)그렙,클라우딩 어플리케이션 엔지니어링,1,46,30,40.0,응용SW엔지니어링,과정 종료,48,55,K-디지털트레이닝,2023-12-18,2024-05-17,서울 서초구,3.75
(주)그렙,클라우딩 어플리케이션 엔지니어링,2,26,19,진행중,응용SW엔지니어링,진행중,31,60,K-디지털트레이닝,2024-04-15,2024-09-13,서울 서초구,3.75
(주)그렙,"타입스크립트로 함께하는 웹 풀 사이클 개발(React, Node.js)",1,53,37,43.2,시스템SW엔지니어링,과정 종료,58,60,K-디지털트레이닝,2023-11-14,2024-05-24,서울 서초구,3.48
(주)그렙,"타입스크립트로 함께하는 웹 풀 사이클 개발(React, Node.js)",2,60,48,진행중,시스템SW엔지니어링,진행중,64,60,K-디지털트레이닝,2024-02-26,2024-08-30,서울 서초구,3.48
(주)그렙,"타입스크립트로 함께하는 웹 풀 사이클 개발(React, Node.js)",3,56,47,진행중,시스템SW엔지니어링,진행중,59,60,K-디지털트레이닝,2024-04-08,2024-10-18,서울 서초구,3.48
(주)그렙,프로그래머스 K-Digital Training 자율주행 데브코스,6,18,13,76.9,IoT시스템연동,과정 종료,21,20,K-디지털트레이닝,2023-09-18,2024-02-19,서울 서초구,4.61
(주)그렙,프로그래머스 데브코스: 빅데이터 플랫폼 프론트엔드 엔지니어링,6,60,47,44.7,빅데이터플랫폼구축,과정 종료,63,60,K-디지털트레이닝,2023-06-01,2023-12-05,서울 서초구,4.73
(주)그렙,프로그래머스 데브코스: 빅데이터 플랫폼 프론트엔드 엔지니어링,7,27,24,16.7,빅데이터플랫폼구축,과정 종료,31,30,K-디지털트레이닝,2023-09-19,2024-03-25,서울 서초구,4.73
(주)그렙,프로그래머스 데브코스: 빅데이터 플랫폼 프론트엔드 엔지니어링,8,28,26,38.4,빅데이터플랫폼구축,과정 종료,34,30,K-디지털트레이닝,2023-09-19,2024-03-25,서울 서초구,4.73
(주)그렙,프로그래머스 데브코스: 클라우드 기반 백엔드 엔지니어링,6,60,50,46.0,인프라스트럭쳐아키텍처구축,과정 종료,64,60,K-디지털트레이닝,2023-06-01,2023-12-05,서울 서초구,4.8
(주)그렙,프로그래머스 데브코스: 클라우드 기반 백엔드 엔지니어링,7,30,25,48.0,인프라스트럭쳐아키텍처구축,과정 종료,30,30,K-디지털트레이닝,2023-09-19,2024-03-25,서울 서초구,4.8
(주)모두의연구소,[스마트훈련]자바스크립트 웹 풀스택 개발자 실무과정,1,13,6,33.3,응용SW엔지니어링,과정 종료,18,40,K-디지털트레이닝,2023-11-28,2024-05-10,서울 강남구,4.54
(주)모두의연구소,[스마트훈련]초거대/생성 모델 활용 AI서비스 개발자 실무과정,1,32,21,61.9,응용SW엔지니어링,과정 종료,34,40,K-디지털트레이닝,2023-12-28,2024-04-18,서울 강남구,4.55
(주)모두의연구소,[스마트훈련]플러터 크로스플랫폼 모바일앱 개발자 실무과정 ,1,33,27,51.8,응용SW엔지니어링,과정 종료,41,38,K-디지털트레이닝,2023-11-27,2024-02-14,서울 강남구,4.8
