기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
멀티캠퍼스,[멀티잇]클라우드(MSA) 서비스 개발자 취업캠프(융합PJT),3,26,26,26,14,24.5,25,71.4,94.7,15,2022-01-03,2022-06-14,빅데이터플랫폼구축(20010209),K-디지털 트레이닝,880,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,[멀티잇]클라우드(MSA) 서비스 개발자 취업캠프(융합PJT),4,26,23,23,11,24.5,26,54.5,93.8,13,2022-01-17,2022-06-28,빅데이터플랫폼구축(20010209),K-디지털 트레이닝,880,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,데이터 분석가 부트캠프(파이썬),3,40,33,33,17,32.62,39,58.8,88,20,2022-01-03,2022-06-10,빅데이터분석(20010105),K-디지털 트레이닝,890,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,데이터 분석가 부트캠프(파이썬),4,40,27,27,12,32.62,33,75.0,86.3,16,2022-01-03,2022-06-10,빅데이터분석(20010105),K-디지털 트레이닝,890,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,데이터 분석가 부트캠프(파이썬),5,50,51,50,41,32.62,27,53.6,89.4,34,2022-01-24,2022-07-01,빅데이터분석(20010105),K-디지털 트레이닝,890,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,데이터 분석가 부트캠프(파이썬),6,50,41,39,32,32.62,50,18.8,88.5,33,2022-03-14,2022-08-11,빅데이터분석(20010105),K-디지털 트레이닝,890,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,데이터 분석가 부트캠프(파이썬),7,50,39,39,29,32.62,39,58.6,82.1,29,2022-06-30,2022-11-30,빅데이터분석(20010105),K-디지털 트레이닝,890,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,데이터 분석가 부트캠프(파이썬),8,40,30,30,17,32.62,39,58.8,90,18,2022-09-19,2023-02-16,빅데이터분석(20010105),K-디지털 트레이닝,890,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,데이터 분석가 부트캠프(파이썬),9,40,25,25,13,32.62,30,30.8,87.1,14,2022-10-04,2023-03-03,빅데이터분석(20010105),K-디지털 트레이닝,890,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,데이터 분석가 부트캠프(파이썬),10,40,18,18,11,32.62,25,54.5,84,15,2022-10-31,2023-03-29,빅데이터분석(20010105),K-디지털 트레이닝,890,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,[멀티잇]IoT 서비스 개발자 취업캠프(융합PJT),3,26,23,23,13,24.0,18,76.9,92,15,2022-01-03,2022-06-14,빅데이터플랫폼구축(20010209),K-디지털 트레이닝,880,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
