기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,3회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-01-02,2024-09-20,960,30,26,26,6개월이 안 지났거나 해당 정보 없음,22.0,28,88.6,15,6개월이 안 지났거나 해당 정보 없음
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,4회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-01-08,2024-07-03,960,25,22,22,21,22.0,26,88.4,21,76.2
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,5회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-06-10,2024-12-05,960,25,21,21,6개월이 안 지났거나 해당 정보 없음,22.0,22,73.9,17,6개월이 안 지났거나 해당 정보 없음
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,6회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-07-11,2025-01-09,960,25,22,21,6개월이 안 지났거나 해당 정보 없음,22.0,21,96.6,21,6개월이 안 지났거나 해당 정보 없음
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,7회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-12-23,2025-06-23,960,25,20,20,6개월이 안 지났거나 해당 정보 없음,22.0,21,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-22,2024-07-24,1000,25,20,20,6개월이 안 지났거나 해당 정보 없음,21.71,13,96.4,16,6개월이 안 지났거나 해당 정보 없음
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-02,2024-09-13,1000,30,29,29,6개월이 안 지났거나 해당 정보 없음,21.71,11,95,23,6개월이 안 지났거나 해당 정보 없음
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,11회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-25,2024-10-01,1000,20,20,20,6개월이 안 지났거나 해당 정보 없음,21.71,29,93.3,17,6개월이 안 지났거나 해당 정보 없음
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,12회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-24,2025-01-27,1000,25,21,21,6개월이 안 지났거나 해당 정보 없음,21.71,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,13회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-24,2025-02-18,1000,25,20,20,6개월이 안 지났거나 해당 정보 없음,21.71,21,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
