기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
(주)솔데스크,(빅데이터 분석 및 UI 전문가)자바 스프링 기반 빅데이터 UI 전문가 양성과정 K,1,29,24,58.3,UI/UX엔지니어링,과정 종료,30,30,실업자(국기),2023-09-19,2024-03-05,서울 종로구,4.75
(주)솔데스크,(빅데이터 분석 및 UI 전문가)자바 스프링 기반 빅데이터 UI 전문가 양성과정 K,2,해당 정보 없음,0,미실시,UI/UX엔지니어링,미실시,0,30,실업자(국기),2023-12-29,2024-05-30,서울 종로구,4.75
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,16,30,25,68.0,IT시스템관리,과정 종료,36,30,K-디지털트레이닝,2023-06-23,2024-02-07,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,17,28,14,57.2,IT시스템관리,과정 종료,33,30,K-디지털트레이닝,2023-07-18,2024-01-11,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,18,21,12,58.3,IT시스템관리,과정 종료,24,30,K-디지털트레이닝,2023-08-16,2024-02-08,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,19,23,20,진행중,IT시스템관리,진행중,25,30,K-디지털트레이닝,2024-04-16,2024-10-15,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,9,30,29,72.4,IT시스템관리,과정 종료,34,30,K-디지털트레이닝,2023-07-11,2024-01-10,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,10,29,13,61.5,IT시스템관리,과정 종료,30,30,K-디지털트레이닝,2023-07-25,2024-03-15,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,11,28,25,72.0,IT시스템관리,과정 종료,29,30,K-디지털트레이닝,2023-09-19,2024-03-26,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,12,해당 정보 없음,0,미실시,IT시스템관리,미실시,0,30,K-디지털트레이닝,2023-12-29,2024-06-20,서울 종로구,4.42
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,6,27,18,61.1,응용SW엔지니어링,과정 종료,37,30,K-디지털트레이닝,2023-07-04,2024-01-09,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,7,30,25,44.0,응용SW엔지니어링,과정 종료,37,30,K-디지털트레이닝,2023-07-26,2024-01-30,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,8,26,18,44.5,응용SW엔지니어링,과정 종료,30,30,K-디지털트레이닝,2023-10-24,2024-04-25,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,9,17,13,53.9,응용SW엔지니어링,과정 종료,19,30,K-디지털트레이닝,2024-01-23,2024-07-18,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,10,18,14,진행중,응용SW엔지니어링,진행중,19,30,K-디지털트레이닝,2024-03-12,2024-09-06,서울 종로구,4.54
