기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
(주)솔데스크,AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,1,27,22,진행중,클라우드인프라스트럭쳐엔지니어링,진행중,29,30,K-디지털트레이닝,2024-07-09,2025-01-06,서울 종로구,3.9
(주)솔데스크,AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,2,17,0,진행중,클라우드인프라스트럭쳐엔지니어링,진행중,18,30,K-디지털트레이닝,2024-10-15,2025-04-15,서울 종로구,3.9
(주)솔데스크,AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,3,21,0,진행중,클라우드인프라스트럭쳐엔지니어링,진행중,24,30,K-디지털트레이닝,2024-11-12,2025-05-15,서울 종로구,3.9
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,19,23,20,진행중,IT시스템관리,진행중,25,30,K-디지털트레이닝,2024-04-16,2024-10-15,서울 종로구,4.42
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,9,17,13,53.9,응용SW엔지니어링,과정 종료,19,30,K-디지털트레이닝,2024-01-23,2024-07-18,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,10,18,14,진행중,응용SW엔지니어링,진행중,19,30,K-디지털트레이닝,2024-03-12,2024-09-06,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,11,22,20,진행중,응용SW엔지니어링,진행중,27,30,K-디지털트레이닝,2024-03-12,2024-09-12,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,12,17,12,진행중,응용SW엔지니어링,진행중,21,30,K-디지털트레이닝,2024-04-09,2024-10-08,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,13,10,8,진행중,응용SW엔지니어링,진행중,12,30,K-디지털트레이닝,2024-05-21,2024-11-13,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,14,13,0,진행중,응용SW엔지니어링,진행중,15,30,K-디지털트레이닝,2024-07-23,2025-03-19,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,15,18,1,진행중,응용SW엔지니어링,진행중,22,30,K-디지털트레이닝,2024-08-20,2025-02-21,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,16,21,0,진행중,응용SW엔지니어링,진행중,24,30,K-디지털트레이닝,2024-10-08,2025-04-08,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,17,20,0,진행중,응용SW엔지니어링,진행중,25,30,K-디지털트레이닝,2024-10-29,2025-04-25,서울 종로구,4.54
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,18,21,0,진행중,응용SW엔지니어링,진행중,27,30,K-디지털트레이닝,2024-12-30,2025-07-07,서울 종로구,4.54
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,8,25,22,63.6,빅데이터분석,과정 종료,28,30,K-디지털트레이닝,2024-01-23,2024-07-19,서울 종로구,4.12
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,9,30,24,진행중,빅데이터분석,진행중,33,30,K-디지털트레이닝,2024-02-19,2024-08-23,서울 종로구,4.12
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,10,16,15,진행중,빅데이터분석,진행중,25,30,K-디지털트레이닝,2024-04-02,2024-10-02,서울 종로구,4.12
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,11,18,18,진행중,빅데이터분석,진행중,39,30,K-디지털트레이닝,2024-07-23,2025-01-20,서울 종로구,4.12
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,12,22,0,진행중,빅데이터분석,진행중,24,30,K-디지털트레이닝,2024-07-23,2025-03-06,서울 종로구,4.12
(주)솔데스크,자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,1,20,0,진행중,응용SW엔지니어링,진행중,24,30,K-디지털트레이닝,2024-09-10,2025-03-26,서울 종로구,0.0
