기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률_퍼센트,6개월후_취업률_기준인원
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-10,2025-03-24,960,30,20,20,6.67,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-25,2025-08-18,960,30,3,0,6.67,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-22,2025-07-18,960,30,0,0,6.67,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,1회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2024-07-09,2025-01-06,960,30,27,27,13.0,해당 정보 없음,79.6,21,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,2회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2024-10-15,2025-04-15,960,30,17,17,13.0,27,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,3회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2024-11-12,2025-05-14,960,30,21,21,13.0,17,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,4회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2025-02-04,2025-07-29,960,30,30,0,13.0,21,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,5회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2025-01-22,2025-07-18,960,30,0,0,13.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층","(디지털컨버전스)JAVA, Python, AutoML을 응용한 풀 스택 개발자 과정 A",1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-02-18,2025-07-30,900,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층","(디지털컨버전스)JAVA, Python, AutoML을 응용한 풀 스택 개발자 과정 A",2회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-01-22,2025-07-09,900,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",(클라우드 운영 관리)클라우드 네트워크 아키텍처 설계 전문가 양성과정 B,1회차,IT시스템관리(20010301),국가기간전략산업직종훈련,2025-02-18,2025-07-31,910,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",(클라우드 운영 관리)클라우드 네트워크 아키텍처 설계 전문가 양성과정 B,2회차,IT시스템관리(20010301),국가기간전략산업직종훈련,2025-01-22,2025-07-10,910,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
