기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
쌍용교육센터,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,4,20,20,20,15,20.0,21,66.6,95,17,2024-01-03,2024-07-15,응용SW엔지니어링(20010202),K-디지털 트레이닝,1040,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층
주식회사멋쟁이사자처럼,멋쟁이사자처럼 디자인 스쿨,2,60,59,59,46,59.0,58,69.5,86.5,55,2024-01-08,2024-05-20,UI/UX엔지니어링(20010207),K-디지털 트레이닝,720,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),21,50,25,25,18,25.0,25,44.4,93.6,20,2024-01-15,2024-06-04,응용SW엔지니어링(20010202),K-디지털 트레이닝,790,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
대한상공회의소,[RedHat] 하이브리드 클라우드 엔지니어 양성,5,24,18,18,14,18.0,22,42.9,38.8,14,2024-01-15,2024-07-11,인프라스트럭쳐아키텍처구축(20010213),K-디지털 트레이닝,960,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
에이콘아카데미(강남),콘텐츠 융합을 위한 자바(JAVA)기반  Full Stack 개발자 양성과정,4,30,19,19,15,19.0,14,66.7,81.5,17,2024-01-17,2024-07-10,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,(06234) 서울특별시 강남구 테헤란로 124 (역삼동 삼원타워) 5층 501호
케이아이씨캠퍼스학원,[현업 전문가 멘토링]자바(JAVA)기반 백엔드 & AI 빅데이터 분석 양성과정,6,30,13,13,9,13.0,14,22.2,80,10,2024-01-22,2024-07-08,빅데이터플랫폼구축(20010209),K-디지털 트레이닝,880,(06134) 서울특별시 강남구 테헤란로1길 10 세경빌딩 3층
중앙정보기술인재개발원,데이터융합 JAVA 응용 SW개발자 기업 채용연계 연수과정,12,30,30,30,18,30.0,25,50.0,76.2,24,2024-01-23,2024-07-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(06134) 서울특별시 강남구 테헤란로7길 7 에스코빌딩 6,7층"
(주)솔데스크,그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,9,30,17,17,13,17.0,26,53.900000000000006,94.5,13,2024-01-23,2024-07-18,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
한국표준협회,Cisco VirtuNet Cloud 통합 구현,3,30,30,30,29,30.0,24,72.4,92.9,30,2024-01-23,2024-07-19,IT시스템관리(20010301),K-디지털 트레이닝,960,(06160) 서울특별시 강남구 테헤란로69길 5 (삼성동) DT센터
하이미디어아카데미인재개발원,React.js와 Springboot를 활용한 자바 풀스택 개발자,9,22,18,18,14,18.0,15,21.4,89.8,14,2024-01-23,2024-07-16,응용SW엔지니어링(20010202),K-디지털 트레이닝,900,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
