기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,14,29,26,61.5,IT시스템관리,과정 종료,30,30,K-디지털트레이닝,2023-01-17,2023-07-14,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,15,30,23,69.6,IT시스템관리,과정 종료,34,30,K-디지털트레이닝,2023-02-28,2023-08-23,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,16,30,25,68.0,IT시스템관리,과정 종료,36,30,K-디지털트레이닝,2023-06-23,2024-02-07,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,17,28,14,57.2,IT시스템관리,과정 종료,33,30,K-디지털트레이닝,2023-07-18,2024-01-11,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,18,21,12,58.3,IT시스템관리,과정 종료,24,30,K-디지털트레이닝,2023-08-16,2024-02-08,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,7,17,15,86.7,IT시스템관리,과정 종료,21,30,K-디지털트레이닝,2023-01-31,2023-07-24,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,8,28,21,76.2,IT시스템관리,과정 종료,36,30,K-디지털트레이닝,2023-03-21,2023-09-11,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,9,30,29,72.4,IT시스템관리,과정 종료,34,30,K-디지털트레이닝,2023-07-11,2024-01-10,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,10,29,13,61.5,IT시스템관리,과정 종료,30,30,K-디지털트레이닝,2023-07-25,2024-03-15,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,11,28,25,72.0,IT시스템관리,과정 종료,29,30,K-디지털트레이닝,2023-09-19,2024-03-26,서울 종로구,4.42
