기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률_퍼센트,6개월후_취업률_기준인원
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-10,2025-03-24,960,30,20,20,6.67,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-25,2025-08-18,960,30,2,0,6.67,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-21,2025-07-17,960,30,0,0,6.67,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,1회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2024-07-09,2025-01-06,960,30,27,27,13.0,해당 정보 없음,79.6,(21 명),6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,2회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2024-10-15,2025-04-15,960,30,17,17,13.0,27,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,3회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2024-11-12,2025-05-14,960,30,21,21,13.0,17,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,4회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2025-02-04,2025-07-29,960,30,30,0,13.0,21,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,5회차,클라우드인프라스트럭쳐엔지니어링(20010215),K-디지털 트레이닝,2025-01-21,2025-07-17,960,30,1,0,13.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-12-27,2024-06-19,940,30,17,17,13.5,해당 정보 없음,95.2,(15 명),66.7,15
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-18,2024-09-06,940,30,27,27,13.5,17,74.1,(21 명),6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-17,2024-12-04,940,30,22,22,13.5,27,74.6,(18 명),6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-09,2025-05-30,940,30,15,15,13.5,22,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-03-18,2025-09-02,940,30,0,0,13.5,15,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-22,2025-07-15,940,30,0,0,13.5,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-20,2025-07-29,1040,25,8,8,2.67,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-22,2025-07-31,1040,25,0,0,2.67,8,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-23,2025-08-01,1040,25,0,0,2.67,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
