기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
(주)솔데스크,"(디지털컨버전스)JAVA, Python, AutoML을 응용한 풀 스택 개발자 과정 A",1,해당 정보 없음,0,개설예정,응용SW엔지니어링,개설예정,0,30,실업자(국기),2025-02-18,2025-07-30,서울 종로구,0.0
(주)솔데스크,"(디지털컨버전스)JAVA, Python, AutoML을 응용한 풀 스택 개발자 과정 A",2,해당 정보 없음,0,진행중,응용SW엔지니어링,진행중,0,30,실업자(국기),2025-02-11,2025-07-23,서울 종로구,0.0
(주)솔데스크,(클라우드 운영 관리)클라우드 네트워크 아키텍처 설계 전문가 양성과정 B,1,해당 정보 없음,0,개설예정,IT시스템관리,개설예정,0,30,실업자(국기),2025-02-18,2025-07-31,서울 종로구,0.0
(주)솔데스크,(클라우드 운영 관리)클라우드 네트워크 아키텍처 설계 전문가 양성과정 B,2,해당 정보 없음,0,진행중,IT시스템관리,진행중,0,30,실업자(국기),2025-02-11,2025-07-24,서울 종로구,0.0
(주)솔데스크,AWS와 Azure 기반 하이브리드 멀티클라우드 DevOps,5,해당 정보 없음,0,진행중,클라우드인프라스트럭쳐엔지니어링,진행중,0,30,K-디지털트레이닝,2025-02-11,2025-08-01,서울 종로구,3.9
(주)솔데스크,자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,2,0,0,개설예정,응용SW엔지니어링,개설예정,15,30,K-디지털트레이닝,2025-02-25,2025-08-20,서울 종로구,0.0
(주)솔데스크,자바/파이썬/챗GPT를 활용한 AI 개발자 양성과정,3,해당 정보 없음,0,진행중,응용SW엔지니어링,진행중,2,30,K-디지털트레이닝,2025-02-11,2025-08-01,서울 종로구,0.0
그린컴퓨터아트학원,[디지털디자인] ChatGPT 활용 UI/UX 반응형 웹앱디자인&웹퍼블리셔 개발자 A,1,해당 정보 없음,0,개설예정,UI/UX엔지니어링,개설예정,0,20,실업자(국기),2025-02-20,2025-07-08,서울 종로구,0.0
그린컴퓨터아트학원,[디지털디자인] ChatGPT 활용 UI/UX 반응형 웹앱디자인&웹퍼블리셔 개발자 B,1,해당 정보 없음,0,개설예정,UI/UX엔지니어링,개설예정,0,20,실업자(국기),2025-02-13,2025-07-01,서울 종로구,0.0
그린컴퓨터아트학원,[디지털디자인] ChatGPT 활용 UI/UX 반응형 웹앱디자인&웹퍼블리셔 개발자 C,1,해당 정보 없음,0,개설예정,UI/UX엔지니어링,개설예정,0,20,실업자(국기),2025-02-18,2025-07-04,서울 종로구,0.0
