기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,1회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-12-04,2024-05-30,960,25,21,21,20.88,해당 정보 없음
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,2회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-12-18,2024-08-30,960,30,28,28,20.88,21
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,3회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-01-02,2024-09-20,960,30,26,26,20.88,28
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,4회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-01-08,2024-07-03,960,25,22,22,20.88,26
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,5회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-06-10,2024-12-05,960,25,21,21,20.88,22
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,6회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-07-11,2025-01-09,960,25,22,21,20.88,21
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,7회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-12-23,2025-06-23,960,25,20,20,20.88,21
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",KT클라우드와 NHN Cloud로 완성하는 클라우드 엔지니어 양성,8회차,IT시스템관리(20010301),K-디지털 트레이닝,2025-02-10,2025-08-01,960,25,9,8,20.88,20
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-05-15,2023-11-17,1000,20,15,15,18.5,해당 정보 없음
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-06-26,2024-02-15,1000,25,24,24,18.5,15
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-06-26,2024-02-23,1000,24,24,24,18.5,24
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-07-03,2024-01-04,1000,20,17,17,18.5,24
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-07-05,2024-02-22,1000,20,16,16,18.5,17
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-07-10,2024-01-12,1000,20,13,13,18.5,16
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-22,2024-07-24,1000,25,20,20,18.5,13
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-12-26,2024-10-17,1000,20,11,11,18.5,20
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-02,2024-09-13,1000,30,29,29,18.5,11
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,11회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-25,2024-10-01,1000,20,20,20,18.5,29
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,12회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-24,2025-01-27,1000,25,21,21,18.5,20
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,13회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-24,2025-02-18,1000,25,20,20,18.5,21
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,14회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-08-05,2025-02-10,1000,25,24,24,18.5,20
